source_e(MeV)	NPS	det_pulse (MeVee)	det_cell	corr_count	PSD	time(s)  cells_history	
3.06153	7483	0.657314	1	no	0.354644	6.71824e-09	4	1
2.05212	7489	0.21212	1	no	0.347654	7.60219e-09	4	1
2.19919	7494	0.333262	1	no	0.358946	8.77739e-09	4	1
2.18767	7607	0.00886025	1	no	0.0703297	6.95653e-09	4	1
2.69122	7656	0.392012	1	no	0.311758	8.65411e-09	4	1
2.4502	7661	0.526552	1	no	0.381028	8.07454e-09	4	1
2.87631	7728	0.462739	1	no	0.353491	5.77476e-09	4	1
2.19856	7731	0.187857	1	no	0.430082	1.11625e-08	4	1
2.60489	7736	0.00761397	1	no	0	1.0026e-08	4	1
2.8579	7794	0.215177	1	no	0.404525	8.89247e-09	4	1
2.64344	7825	0.287987	1	no	0.346879	5.90942e-09	4	1
1.47879	7856	0.0928476	1	no	0.354866	1.1175e-08	4	1
2.94862	7866	0.598544	1	no	0.391483	1.0942e-08	4	1
2.8181	7904	0.51703	1	no	0.352265	7.92697e-09	4	1
2.27958	7927	0.332698	1	no	0.37688	6.67217e-09	4	1
2.68459	7929	0.00821764	1	no	0	1.10079e-08	4	1
2.99825	7949	0.507352	1	no	0.397904	6.08626e-09	4	1
2.75606	7964	0.506689	1	no	0.335319	7.26771e-09	4	1
2.55897	7978	0.0585166	1	no	0.248918	6.16735e-09	4	1
2.61965	7993	0.354994	1	no	0.301152	6.70639e-09	4	1
3.16422	8023	0.641404	1	no	0.369452	4.98926e-09	4	1
2.65076	8034	0.478122	1	no	0.354254	6.19504e-09	4	1
2.79528	8095	0.0743872	1	no	0.212042	6.94927e-09	4	1
2.58005	8186	0.212724	1	no	0.367722	7.76015e-09	4	1
2.89449	8197	0.479933	1	no	0.34748	5.41055e-09	4	1
1.95252	8209	0.231223	1	no	0.357504	7.97787e-09	4	1
2.30105	8225	0.397056	1	no	0.373565	6.49614e-09	4	1
2.30689	8241	0.324986	1	no	0.338726	7.26066e-09	4	1
2.6335	8272	0.238915	1	no	0.343386	6.98447e-09	4	1
2.62961	8288	0.168754	1	no	0.369028	6.66099e-09	4	1
3.11767	8290	0.634335	1	no	0.381581	8.80063e-09	4	1
2.42104	8316	0.0768797	1	no	0.337893	9.78252e-09	4	1
2.06336	8394	0.277744	1	no	0.389259	7.19065e-09	4	1
1.70965	8426	0.17888	1	no	0.379926	8.11832e-09	4	1
2.44167	8437	0.356279	1	no	0.362702	9.73604e-09	4	1
2.55055	8444	0.282243	1	no	0.399131	9.6057e-09	4	1
2.27797	8447	0.0139622	1	no	0.0446304	7.84777e-09	4	1
2.27723	8453	0.324928	1	no	0.389608	8.49932e-09	4	1
2.02172	8585	0.217203	1	no	0.398243	8.02e-09	4	1
2.59553	8628	0.0565498	1	no	0.32438	6.1183e-09	4	1
2.92778	8682	0.0604055	1	no	0.262089	5.53799e-09	4	1
2.39171	8719	0.149027	1	no	0.383771	6.52e-09	4	1
2.56121	8720	0.232431	1	no	0.371816	7.70218e-09	4	1
2.34291	8750	0.236948	1	no	0.41075	6.58227e-09	4	1
2.34004	8857	0.40025	1	no	0.383283	9.9885e-09	4	1
2.96397	8870	0.0209336	1	no	0.212093	1.34513e-08	4	1
2.32934	8872	0.199365	1	no	0.38279	8.01761e-09	4	1
2.61102	8875	0.0564914	1	no	0.290934	6.20644e-09	4	1
2.57475	8920	0.226121	1	no	0.354203	7.66116e-09	4	1
1.59344	8940	0.20252	1	no	0.342115	1.12743e-08	4	1
2.40381	8955	0.0508053	1	no	0.336144	6.35074e-09	4	1
2.40808	8971	0.328121	1	no	0.348902	9.92121e-09	4	1
2.52854	8985	0.40983	1	no	0.360354	7.26662e-09	4	1
2.30602	8987	0.335774	1	no	0.322044	6.54174e-09	4	1
2.11257	9006	0.13489	1	no	0.352822	6.30211e-09	4	1
2.57781	9023	0.258602	1	no	0.353991	1.1757e-08	4	1
2.74749	9034	0.237591	1	no	0.35325	7.04156e-09	4	1
1.83077	9054	0.125426	1	no	0.400559	8.23109e-09	4	1
2.51954	9056	0.404728	1	no	0.366388	7.68598e-09	4	1
2.82231	9101	0.42313	1	no	0.372866	5.45657e-09	4	1
2.97903	9180	0.252235	1	no	0.383154	6.46962e-09	4	1
2.64019	9362	0.251027	1	no	0.326817	9.5516e-09	4	1
1.86141	9397	0.10679	1	no	0.308169	8.45503e-09	4	1
2.53157	9527	0.490274	1	no	0.378043	7.30731e-09	4	1
2.26305	9542	0.113898	1	no	0.351171	9.95713e-09	4	1
2.13182	9580	0.159738	1	no	0.357796	7.73696e-09	4	1
2.66385	9617	0.499095	1	no	0.399376	1.02543e-08	4	1
2.3648	9628	0.124082	1	no	0.255493	8.64249e-09	4	1
1.94986	9629	0.117812	1	no	0.323636	7.29826e-09	4	1
2.60764	9746	0.516192	1	no	0.406934	6.55634e-09	4	1
2.5915	9829	0.235722	1	no	0.394135	6.72896e-09	4	1
2.75365	9845	0.109517	1	no	0.301565	5.81149e-09	4	1
2.62926	9888	0.190349	1	no	0.279898	7.88813e-09	4	1
2.19775	9911	0.245867	1	no	0.346507	8.11668e-09	4	1
2.43942	9921	0.489573	1	no	0.374687	6.47531e-09	4	1
2.32245	9950	0.461473	1	no	0.379357	8.36321e-09	4	1
2.80054	9993	0.115164	1	no	0.241799	5.96707e-09	4	1
2.45882	10015	0.407883	1	no	0.394873	6.69967e-09	4	1
2.30415	10091	0.217826	1	no	0.364652	7.00854e-09	4	1
2.4022	10136	0.266956	1	no	0.288059	6.96471e-09	4	1
2.378	10144	0.513174	1	no	0.369825	7.71438e-09	4	1
2.31194	10166	0.373494	1	no	0.380083	5.88555e-09	4	1
1.91344	10177	0.0253929	1	no	0.174847	7.09433e-09	4	1
2.73352	10204	0.336358	1	no	0.408499	7.81006e-09	4	1
2.07628	10235	0.0100676	1	no	0.123791	6.82801e-09	4	1
3.00883	10252	0.242576	1	no	0.345589	8.13018e-09	4	1
2.38048	10261	0.00821764	1	no	0.154028	8.07714e-09	4	1
2.56663	10307	0.0540378	1	no	0.234234	8.51908e-09	4	1
2.06345	10346	0.252215	1	no	0.441399	9.77654e-09	4	1
2.45004	10386	0.143828	1	no	0.393041	6.63896e-09	4	1
2.3924	10414	0.0686036	1	no	0.359921	7.67584e-09	4	1
3.04389	10415	0.503613	1	no	0.395832	6.40405e-09	4	1
2.57039	10463	0.0355578	1	no	0.141292	9.83175e-09	4	1
2.06981	10490	0.147684	1	no	0.400185	8.44484e-09	4	1
2.18263	10496	0.132358	1	no	0.398411	7.15946e-09	4	1
2.07249	10506	0.0999164	1	no	0.368934	6.77652e-09	4	1
2.37267	10522	0.236403	1	no	0.444399	8.64037e-09	4	1
2.46583	10524	0.159153	1	no	0.371467	7.48004e-09	4	1
2.94215	10536	0.0399393	1	no	0.363725	9.49387e-09	4	1
2.06884	10582	0.271494	1	no	0.318749	8.11498e-09	4	1
3.17343	10587	0.087843	1	no	0.281977	6.35634e-09	4	1
2.72593	10608	0.255448	1	no	0.391066	6.50309e-09	4	1
1.74828	10635	0.28861	1	no	0.356993	7.10717e-09	4	1
2.88914	10646	0.668803	1	no	0.383811	6.38924e-09	4	1
2.66516	10658	0.182813	1	no	0.263954	7.16043e-09	4	1
2.43443	10667	0.335171	1	no	0.324483	6.13447e-09	4	1
2.14673	10755	0.431445	1	no	0.379175	7.19113e-09	4	1
2.57274	10783	0.400873	1	no	0.314243	8.70026e-09	4	1
2.84588	10829	0.312192	1	no	0.385105	5.58699e-09	4	1
2.18889	10838	0.283547	1	no	0.408488	6.19163e-09	4	1
3.05324	10841	0.0139427	1	no	0.0893855	6.47776e-09	4	1
2.73152	10844	0.426363	1	no	0.364284	7.29955e-09	4	1
2.25774	10847	0.138123	1	no	0.257155	7.09094e-09	4	1
1.98243	10859	0.0203104	1	no	0.186002	1.57364e-08	4	1
2.29535	10878	0.352268	1	no	0.355611	8.8491e-09	4	1
2.13418	10904	0.328861	1	no	0.33284	6.82026e-09	4	1
1.95264	10927	0.24207	1	no	0.370445	6.4886e-09	4	1
2.80027	10973	0.0362004	1	no	0.261969	6.1531e-09	4	1
2.69553	10996	0.112613	1	no	0.349473	6.79177e-09	4	1
2.6108	11006	0.342824	1	no	0.399148	6.08926e-09	4	1
2.22871	11013	0.261231	1	no	0.367797	8.74764e-09	4	1
2.21586	11085	0.152182	1	no	0.409469	7.82445e-09	4	1
2.58107	11087	0.0101065	1	no	0.186898	6.09422e-09	4	1
2.188	11156	0.14451	1	no	0.373669	6.85947e-09	4	1
2.18226	11166	0.0590813	1	no	0.353659	7.82827e-09	4	1
2.17717	11220	0.337683	1	no	0.422121	6.49e-09	4	1
2.88654	11226	0.286021	1	no	0.431509	6.36176e-09	4	1
2.83186	11235	0.286741	1	no	0.317216	6.29609e-09	4	1
2.70706	11254	0.638756	1	no	0.414853	6.62384e-09	4	1
2.46764	11328	0.0966449	1	no	0.386863	7.76887e-09	4	1
2.3191	11335	0.395771	1	no	0.360165	8.45646e-09	4	1
2.69629	11342	0.481959	1	no	0.388566	5.65291e-09	4	1
2.75061	11345	0.246588	1	no	0.433626	8.87842e-09	4	1
2.04503	11358	0.173817	1	no	0.383935	1.1346e-08	4	1
2.17805	11375	0.126672	1	no	0.330669	6.44118e-09	4	1
2.01293	11376	0.238312	1	no	0.456774	7.25969e-09	4	1
2.69857	11383	0.50112	1	no	0.371143	5.62366e-09	4	1
2.3438	11397	0.0711741	1	no	0.302326	6.78783e-09	4	1
2.20496	11406	0.24207	1	no	0.317674	7.47154e-09	4	1
2.22499	11416	0.272	1	no	0.430341	7.2972e-09	4	1
2.25954	11430	0.259206	1	no	0.311321	5.91123e-09	4	1
2.0445	11451	0.204467	1	no	0.37019	6.50179e-09	4	1
2.07248	11466	0.170058	1	no	0.306538	8.9923e-09	4	1
2.29751	11490	0.182774	1	no	0.34413	6.39587e-09	4	1
1.99007	11538	0.18846	1	no	0.363918	8.22259e-09	4	1
2.20134	11552	0.177653	1	no	0.346925	6.64235e-09	4	1
1.95811	11553	0.0348373	1	no	0.252096	8.16553e-09	4	1
2.24848	11613	0.047008	1	no	0.323529	7.59678e-09	4	1
2.48364	11666	0.0145269	1	no	0.130027	6.08141e-09	4	1
2.13757	11684	0.0578156	1	no	0.339171	1.20505e-08	4	1
2.24914	11755	0.41168	1	no	0.352396	7.45951e-09	4	1
3.19171	11836	0.164294	1	no	0.32073	5.40178e-09	4	1
1.98588	11862	0.233852	1	no	0.326505	7.87294e-09	4	1
2.32598	11916	0.292447	1	no	0.393794	7.23161e-09	4	1
1.60083	11932	0.105602	1	no	0.324359	8.36889e-09	4	1
2.33	11942	0.191635	1	no	0.40128	6.56971e-09	4	1
2.93851	11960	0.0203104	1	no	0.248322	8.97308e-09	4	1
2.37822	12107	0.0457423	1	no	0.304385	6.04313e-09	4	1
2.66063	12114	0.141375	1	no	0.287328	6.30153e-09	4	1
2.57692	12164	0.119662	1	no	0.307567	7.35804e-09	4	1
2.3032	12171	0.215372	1	no	0.351537	6.57675e-09	4	1
2.14463	12184	0.199988	1	no	0.304966	1.30445e-08	4	1
2.19357	12208	0.164275	1	no	0.317093	6.88151e-09	4	1
2.81032	12251	0.529142	1	no	0.361057	6.87602e-09	4	1
2.95338	12310	0.057134	1	no	0.25392	7.10868e-09	4	1
1.7248	12390	0.27903	1	no	0.360179	9.87236e-09	4	1
2.48425	12482	0.355014	1	no	0.360375	6.217e-09	4	1
2.43369	12588	0.248983	1	no	0.326685	6.17755e-09	4	1
2.65559	12594	0.0158511	1	no	0.120393	7.81763e-09	4	1
2.34516	12617	0.313536	1	no	0.387864	9.43577e-09	4	1
2.34071	12677	0.287968	1	no	0.3467	7.91921e-09	4	1
1.64625	12774	0.23506	1	no	0.378759	9.67204e-09	4	1
2.4121	12790	0.155317	1	no	0.388541	6.81018e-09	4	1
