source_e (MeV)	NPS	det_pulse (MeVee)	det_cell	corr_count	PSD	time (s)	cells_history
2.12051	4828	0.0412586	1	no	0.244696	6.46257e-09	4	1
2.38157	4836	0.318923	1	no	0.420677	7.19902e-09	4	1
2.59715	4861	0.431124	1	no	0.348193	7.73593e-09	4	1
2.41581	4888	0.160288	1	no	0.268932	1.17344e-08	4	1
2.2583	4905	0.118835	1	no	0.357505	1.00553e-08	4	1
2.42704	4988	0.0488451	1	no	0.311031	6.88876e-09	4	1
2.92151	5007	0.474289	1	no	0.38877	5.92339e-09	4	1
2.78501	5037	0.426592	1	no	0.35472	5.33771e-09	4	1
2.59115	5091	0.133463	1	no	0.427926	6.23006e-09	4	1
1.93833	5114	0.153849	1	no	0.391706	8.67001e-09	4	1
2.8218	5159	0.387104	1	no	0.390955	5.93929e-09	4	1
2.02108	5200	0.158284	1	no	0.372742	8.5184e-09	4	1
2.52674	5251	0.170442	1	no	0.312486	7.9832e-09	4	1
1.8955	5253	0.236036	1	no	0.325449	8.52702e-09	4	1
1.91581	5275	0.186432	1	no	0.357784	1.04988e-08	4	1
2.29544	5354	0.0730439	1	no	0.27723	5.9804e-09	4	1
2.30091	5377	0.341915	1	no	0.420379	6.22369e-09	4	1
2.60899	5420	0.441142	1	no	0.397742	6.02413e-09	4	1
2.81042	5471	0.439255	1	no	0.363226	6.62255e-09	4	1
2.12273	5503	0.031688	1	no	0.29957	7.87915e-09	4	1
3.04092	5508	0.251384	1	no	0.394413	6.30173e-09	4	1
2.63117	5564	0.0895785	1	no	0.353746	7.71789e-09	4	1
3.05102	5570	0.458494	1	no	0.378787	6.39896e-09	4	1
2.73378	5573	0.149531	1	no	0.352673	6.8066e-09	4	1
2.56613	5596	0.603765	1	no	0.34345	6.50609e-09	4	1
2.35874	5641	0.146263	1	no	0.316398	1.24236e-08	4	1
2.38937	5642	0.501192	1	no	0.377023	6.30095e-09	4	1
2.58177	5651	0.233488	1	no	0.407981	5.88193e-09	4	1
2.54277	5686	0.0921073	1	no	0.351003	8.27702e-09	4	1
2.53744	5735	0.583281	1	no	0.419943	6.77347e-09	4	1
2.19734	5785	0.295307	1	no	0.389566	7.04914e-09	4	1
2.62123	5967	0.582717	1	no	0.331887	6.02147e-09	4	1
2.34913	6003	0.403638	1	no	0.370169	1.03169e-08	4	1
1.85183	6067	0.205457	1	no	0.324181	6.92374e-09	4	1
2.87349	6077	0.394087	1	no	0.369367	7.97391e-09	4	1
2.7804	6119	0.238565	1	no	0.359263	5.90303e-09	4	1
3.15745	6189	0.155114	1	no	0.462503	7.07703e-09	4	1
2.22289	6198	0.232962	1	no	0.370908	9.25486e-09	4	1
2.28269	6256	0.310597	1	no	0.355984	6.28796e-09	4	1
1.86295	6334	0.200418	1	no	0.345336	8.35921e-09	4	1
1.75502	6391	0.229072	1	no	0.346467	7.20068e-09	4	1
2.94871	6395	0.260838	1	no	0.389589	9.34259e-09	4	1
1.97484	6481	0.327754	1	no	0.395572	7.4104e-09	4	1
2.5123	6542	0.372475	1	no	0.44062	7.83973e-09	4	1
2.74454	6561	0.587211	1	no	0.416173	5.78349e-09	4	1
2.00842	6563	0.0437096	1	no	0.287939	9.47966e-09	4	1
2.28351	6577	0.0742694	1	no	0.340492	8.18022e-09	4	1
3.00981	6598	0.589681	1	no	0.421884	7.49443e-09	4	1
2.27188	6625	0.230259	1	no	0.341725	6.75577e-09	4	1
2.08684	6630	0.13288	1	no	0.362612	7.53381e-09	4	1
1.74402	6641	0.106774	1	no	0.320459	9.24392e-09	4	1
2.63614	6654	0.442562	1	no	0.340556	6.08188e-09	4	1
2.86693	6773	0.477635	1	no	0.372974	7.09555e-09	4	1
2.43832	6774	0.261557	1	no	0.378923	8.16289e-09	4	1
2.71099	6815	0.265409	1	no	0.359352	5.89155e-09	4	1
2.60257	6817	0.448943	1	no	0.348585	7.24675e-09	4	1
2.42329	6847	0.333512	1	no	0.377428	6.80713e-09	4	1
2.25097	6914	0.02984	1	no	0.127119	9.32361e-09	4	1
2.58437	6922	0.513914	1	no	0.398577	5.7082e-09	4	1
2.72498	6944	0.200341	1	no	0.354598	1.0442e-08	4	1
2.50341	6960	0.199757	1	no	0.38475	1.11647e-08	4	1
2.36305	7005	0.256422	1	no	0.431194	7.25113e-09	4	1
2.39326	7090	0.17941	1	no	0.332538	7.55933e-09	4	1
2.51091	7180	0.0882946	1	no	0.38048	7.86141e-09	4	1
2.50558	7247	0.0768177	1	no	0.362877	6.99648e-09	4	1
2.29444	7275	0.288324	1	no	0.343813	6.87475e-09	4	1
2.14045	7297	0.241774	1	no	0.288599	7.10096e-09	4	1
1.91698	7328	0.287721	1	no	0.344466	7.21991e-09	4	1
2.69567	7372	0.012683	1	no	0.148773	6.33961e-09	4	1
2.99614	7387	0.219579	1	no	0.335843	1.09689e-08	4	1
2.82714	7390	0.37623	1	no	0.358203	7.02568e-09	4	1
2.23687	7410	0.222147	1	no	0.340455	6.67914e-09	4	1
2.31672	7413	0.0240821	1	no	0.1042	1.10424e-08	4	1
1.73985	7434	0.214483	1	no	0.373481	1.12914e-08	4	1
3.06153	7483	0.684667	1	no	0.412734	6.71824e-09	4	1
2.05212	7489	0.200302	1	no	0.373701	7.60219e-09	4	1
2.19919	7494	0.307465	1	no	0.378464	8.77739e-09	4	1
2.18767	7607	0.0183242	1	no	0.136943	6.95653e-09	4	1
