exp_num,start_time,stop_time,elapsed_s
0170,2022-07-30 16:27:37.716180,2022-07-30 16:28:25.079889,47.36
0171,2022-07-30 16:28:53.414510,2022-07-30 16:29:40.571207,47.16
0172,2022-07-30 16:30:08.864825,2022-07-30 16:30:56.872571,48.01
0173,2022-07-30 16:31:25.120187,2022-07-30 16:32:12.824915,47.70
0174,2022-07-30 16:32:40.930523,2022-07-30 16:33:28.733257,47.80
0175,2022-07-30 16:33:57.003874,2022-07-30 16:34:44.868612,47.86
0176,2022-07-30 16:35:13.215233,2022-07-30 16:36:00.421933,47.21
0177,2022-07-30 16:36:28.550542,2022-07-30 16:37:15.340218,46.79
0178,2022-07-30 16:37:43.576833,2022-07-30 16:38:31.636582,48.06
0179,2022-07-30 16:38:59.863197,2022-07-30 16:39:46.860885,47.00
0180,2022-07-30 16:40:15.141502,2022-07-30 16:41:03.005240,47.86
0181,2022-07-30 16:41:31.294858,2022-07-30 16:42:18.741572,47.45
0182,2022-07-30 16:42:47.070192,2022-07-30 16:43:35.636970,48.57
0183,2022-07-30 16:44:03.943589,2022-07-30 16:44:51.904332,47.96
0184,2022-07-30 16:45:20.075944,2022-07-30 16:46:07.950682,47.87
0185,2022-07-30 16:46:36.223299,2022-07-30 16:47:23.736016,47.51
0186,2022-07-30 16:47:51.957631,2022-07-30 16:48:38.586298,46.63
0187,2022-07-30 16:49:06.873916,2022-07-30 16:49:54.973667,48.10
0188,2022-07-30 16:50:23.175280,2022-07-30 16:51:10.250972,47.08
0189,2022-07-30 16:51:38.492588,2022-07-30 16:52:26.876355,48.38
0190,2022-07-30 16:52:55.149972,2022-07-30 16:53:43.056712,47.91
0191,2022-07-30 16:54:11.385333,2022-07-30 16:54:59.318074,47.93
0192,2022-07-30 16:55:27.620693,2022-07-30 16:56:16.094466,48.47
0193,2022-07-30 16:56:44.326080,2022-07-30 16:57:31.983806,47.66
0194,2022-07-30 16:58:00.251423,2022-07-30 16:58:48.185165,47.93
0195,2022-07-30 16:59:16.337775,2022-07-30 17:00:05.118565,48.78
0196,2022-07-30 17:00:33.311178,2022-07-30 17:01:21.431930,48.12
0197,2022-07-30 17:01:49.751550,2022-07-30 17:02:37.778297,48.03
0198,2022-07-30 17:03:05.967909,2022-07-30 17:03:52.755585,46.79
0199,2022-07-30 17:04:21.005201,2022-07-30 17:05:08.284905,47.28
0200,2022-07-30 17:05:36.467517,2022-07-30 17:06:25.507322,49.04
0201,2022-07-30 17:06:53.964950,2022-07-30 17:07:41.830688,47.87
0202,2022-07-30 17:08:10.116305,2022-07-30 17:08:57.074991,46.96
0203,2022-07-30 17:09:25.402611,2022-07-30 17:10:13.306351,47.90
0204,2022-07-30 17:10:41.548967,2022-07-30 17:11:28.115630,46.57
0205,2022-07-30 17:11:56.308243,2022-07-30 17:12:43.759957,47.45
0206,2022-07-30 17:13:12.058575,2022-07-30 17:14:00.134325,48.08
0207,2022-07-30 17:14:28.380941,2022-07-30 17:15:15.345627,46.96
0208,2022-07-30 17:15:43.641245,2022-07-30 17:16:31.985011,48.34
0209,2022-07-30 17:17:00.363634,2022-07-30 17:17:47.290318,46.93
0210,2022-07-30 17:18:15.476930,2022-07-30 17:19:02.943645,47.47
0211,2022-07-30 17:19:31.187260,2022-07-30 17:20:19.055998,47.87
0212,2022-07-30 17:20:47.357617,2022-07-30 17:21:35.510371,48.15
0213,2022-07-30 17:22:03.836991,2022-07-30 17:22:51.441714,47.60
0214,2022-07-30 17:23:19.694330,2022-07-30 17:24:07.183046,47.49
0215,2022-07-30 17:24:35.527668,2022-07-30 17:25:24.737482,49.21
0216,2022-07-30 17:25:52.999099,2022-07-30 17:26:39.982786,46.98
0217,2022-07-30 17:27:08.254403,2022-07-30 17:27:55.569109,47.31
0218,2022-07-30 17:28:23.865728,2022-07-30 17:29:11.782469,47.92
0219,2022-07-30 17:29:40.077087,2022-07-30 17:30:27.657808,47.58
0220,2022-07-30 17:30:55.904424,2022-07-30 17:31:42.171070,46.27
0221,2022-07-30 17:32:10.492690,2022-07-30 17:32:57.195361,46.70
